"TeamChartDetailD","TeamChartID","UPCID","DieRoll","ResultCodeID","Yards","OutOfBounds"
929850,933,5,21,4,"0",0
929851,933,5,22,1,"4",0
929852,933,5,23,1,"3",0
929853,933,5,24,1,"17",0
929854,933,5,25,1,"-1",0
929855,933,5,26,1,"-3",0
929856,933,5,27,1,"6",0
929857,933,5,28,9,"-2",0
929858,933,5,29,4,"0",0
929859,933,5,30,1,"15",0
929860,933,5,31,4,"0",0
929861,933,5,32,1,"13",0
929862,933,5,33,1,"5",0
929863,933,5,34,1,"9",0
929864,933,5,35,1,"-2",0
929865,933,5,36,1,"11",0
929866,933,5,37,4,"0",0
929867,933,5,38,1,"18",0
929868,933,5,39,5,"1",0
929869,933,6,10,4,"0",0
929870,933,6,11,1,"1",1
929871,933,6,12,1,"2",1
929872,933,6,13,6,"5X",0
929873,933,6,14,1,"8",0
929874,933,6,15,1,"3",0
929875,933,6,16,6,"15",0
929876,933,6,17,1,"5",1
929877,933,6,18,9,"0",0
929878,933,6,19,9,"4",0
929879,933,6,20,3,"0",0
929880,933,6,21,3,"0",0
929881,933,6,22,1,"5",1
929882,933,6,23,1,"9",0
929883,933,6,24,1,"12",0
929884,933,6,25,1,"12",0
929885,933,6,26,4,"0",0
929886,933,6,27,4,"0",0
929887,933,6,28,4,"0",0
929888,933,6,29,7,"10",0
929889,933,6,30,1,"4",0
929890,933,6,31,3,"0",0
929891,933,6,32,1,"8",0
929892,933,6,33,1,"6",0
929893,933,6,34,4,"0",0
929894,933,6,35,1,"12",0
929895,933,6,36,1,"7",0
929896,933,6,37,4,"0",0
929897,933,6,38,4,"0",0
929898,933,6,39,7,"5",0
929899,933,7,10,1,"18",0
929900,933,7,11,1,"11",0
929901,933,7,12,6,"5X",0
929902,933,7,13,1,"10",0
929903,933,7,14,1,"25",0
929904,933,7,15,1,"21",1
929905,933,7,16,7,"10",0
929906,933,7,17,1,"18",0
929907,933,7,18,7,"5",0
929908,933,7,19,5,"16",0
929909,933,7,20,6,"5X",0
929910,933,7,21,1,"15",0
929911,933,7,22,1,"12",0
929912,933,7,23,1,"16",0
929913,933,7,24,1,"19",0
929914,933,7,25,4,"0",0
929915,933,7,26,1,"17",0
929916,933,7,27,1,"30",1
929917,933,7,28,4,"0",0
929918,933,7,29,1,"38",0
929919,933,7,30,9,"14",0
929920,933,7,31,3,"0",0
929921,933,7,32,1,"13",0
929922,933,7,33,4,"0",0
929923,933,7,34,3,"0",0
929924,933,7,35,4,"0",0
929925,933,7,36,4,"0",0
929926,933,7,37,4,"0",0
929927,933,7,38,6,"15",0
929928,933,7,39,4,"0",0
929929,933,8,10,1,"23",0
929930,933,8,11,1,"49",0
929931,933,8,12,7,"10",0
929932,933,8,13,9,"35",0
929933,933,8,14,1,"30",0
929934,933,8,15,1,"42",0
929935,933,8,16,1,"50",0
929936,933,8,17,5,"20",0
929937,933,8,18,1,"25",0
929938,933,8,19,6,"5",0
929939,933,8,20,8,"16",0
929940,933,8,21,1,"24",0
929941,933,8,22,6,"5X",0
929942,933,8,23,1,"33",0
929943,933,8,24,3,"0",0
929944,933,8,25,1,"26",0
929945,933,8,26,1,"20",0
929946,933,8,27,7,"5",0
929947,933,8,28,1,"21",1
929948,933,8,29,1,"23",0
929949,933,8,30,4,"0",0
929950,933,8,31,4,"0",0
929951,933,8,32,4,"0",0
929952,933,8,33,4,"0",0
929953,933,8,34,3,"0",0
929954,933,8,35,4,"0",0
929955,933,8,36,4,"0",0
929956,933,8,37,4,"0",0
929957,933,8,38,1,"24",0
929958,933,8,39,6,"15",0
929959,933,9,10,4,"0",0
929960,933,9,11,7,"10",0
929961,933,9,12,9,"7",0
929962,933,9,13,4,"0",0
929963,933,9,14,1,"12",0
929964,933,9,15,1,"7",1
929965,933,9,16,1,"23",1
929966,933,9,17,4,"0",0
929967,933,9,18,1,"27",1
929968,933,9,19,7,"5",0
929969,933,9,20,1,"31",1
929970,933,9,21,1,"15",0
929971,933,9,22,1,"19",0
929972,933,9,23,4,"0",0
929973,933,9,24,1,"16",0
929974,933,9,25,1,"10",1
929975,933,9,26,4,"0",0
929976,933,9,27,3,"0",0
929977,933,9,28,6,"5X",0
929978,933,9,29,9,"-5",0
929979,933,9,30,1,"6",0
929980,933,9,31,1,"9",1
929981,933,9,32,1,"4",0
929982,933,9,33,3,"0",0
929983,933,9,34,4,"0",0
929984,933,9,35,4,"0",0
929985,933,9,36,4,"0",0
929986,933,9,37,1,"11",0
929987,933,9,38,6,"15",0
929988,933,9,39,9,"5",0
929989,933,10,1,14,"4",0
929990,933,10,2,1,"0",0
929991,933,10,3,14,"7",0
929992,933,10,4,14,"1",0
929993,933,10,5,1,"0",0
929994,933,11,1,1,"0",0
929995,933,11,2,1,"1",0
929996,933,11,3,1,"-3",0
929997,933,11,4,1,"21",0
929998,933,11,5,1,"8",0
929999,933,12,1,1,"1",0
930000,933,12,2,1,"0",0
930001,933,12,3,14,"1",0
930002,933,12,4,14,"11",0
930003,933,12,5,1,"6",0
930004,933,13,1,1,"0",0
930005,933,13,2,14,"2",0
930006,933,13,3,14,"2",0
930007,933,13,4,1,"2",0
930008,933,13,5,14,"10",0
930009,933,14,1,1,"0",0
930010,933,14,2,1,"0",0
930011,933,14,3,14,"6",0
930012,933,14,4,14,"20",0
930013,933,14,5,1,"12",0
930014,933,15,1,1,"0",0
930015,933,15,2,1,"-3",0
930016,933,15,3,1,"0",0
930017,933,15,4,14,"22",0
930018,933,15,5,9,"4",0
930019,933,16,1,14,"20",0
930020,933,16,2,1,"0",0
930021,933,16,3,1,"-3",0
930022,933,16,4,3,"0",0
930023,933,16,5,1,"5",0
930024,933,17,1,1,"0",0
930025,933,17,2,1,"-3",0
930026,933,17,3,4,"0",0
930027,933,17,4,9,"22",0
930028,933,17,5,1,"16",0
930029,933,18,1,1,"0",0
930030,933,18,2,14,"8",0
930031,933,18,3,1,"0",0
930032,933,18,4,4,"0",0
930033,933,18,5,14,"6",0
930034,933,19,1,1,"-1",0
930035,933,19,2,14,"1",0
930036,933,19,3,1,"0",0
930037,933,19,4,14,"-1",0
930038,933,19,5,14,"2",0
930039,933,20,1,14,"1",0
930040,933,20,2,1,"-1",0
930041,933,20,3,1,"0",0
930042,933,20,4,14,"-2",0
930043,933,20,5,1,"0",0
930044,933,21,1,1,"4",0
930045,933,21,2,1,"0",0
930046,933,21,3,14,"-1",0
930047,933,21,4,14,"6",0
930048,933,21,5,1,"17",0
930049,933,22,1,1,"0",0
930050,933,22,2,14,"2",0
930051,933,22,3,1,"0",0
930052,933,22,4,14,"0",0
930053,933,22,5,14,"1",0
930054,933,23,1,1,"0",0
930055,933,23,2,1,"0",0
930056,933,23,3,14,"2",0
930057,933,23,4,1,"2",0
930058,933,23,5,1,"3",0
930059,933,24,1,1,"0",0
930060,933,24,2,14,"7",0
930061,933,24,3,1,"0",0
930062,933,24,4,4,"0",0
930063,933,24,5,14,"18",0
930064,933,25,1,1,"0",0
930065,933,25,2,14,"12",0
930066,933,25,3,14,"17",0
930067,933,25,4,1,"0",0
930068,933,25,5,14,"25",0
930069,933,26,1,1,"0",0
930070,933,26,2,1,"0",0
930071,933,26,3,1,"-8",0
930072,933,26,4,9,"54",0
930073,933,26,5,1,"16",0
930074,933,27,1,1,"0",0
930075,933,27,2,1,"0",0
930076,933,27,3,14,"14",0
930077,933,27,4,1,"-3",0
930078,933,27,5,14,"6",0
930079,933,28,1,14,"3",0
930080,933,28,2,1,"0",0
930081,933,28,3,14,"0",0
930082,933,28,4,14,"2",0
930083,933,28,5,1,"0",0
930084,933,29,1,1,"0",0
930085,933,29,2,14,"2",0
930086,933,29,3,14,"3",0
930087,933,29,4,1,"0",0
930088,933,29,5,14,"11",0
930089,933,30,1,14,"2",0
930090,933,30,2,1,"0",0
930091,933,30,3,14,"-1",0
930092,933,30,4,1,"0",0
930093,933,30,5,1,"0",0
930094,933,31,1,1,"1",0
930095,933,31,2,1,"0",0
930096,933,31,3,14,"2",0
930097,933,31,4,1,"-5",0
930098,933,31,5,14,"-1",0
930099,933,32,1,1,"0",0
930100,933,32,2,1,"-1",0
930101,933,32,3,14,"1",0
930102,933,32,4,1,"2",0
930103,933,32,5,1,"0",0
930104,933,33,1,1,"0",0
930105,933,33,2,14,"10",0
930106,933,33,3,1,"0",0
930107,933,33,4,3,"0",0
930108,933,33,5,4,"0",0
930109,933,34,1,1,"0",0
930110,933,34,2,1,"0",0
930111,933,34,3,14,"16",0
930112,933,34,4,14,"14",0
930113,933,34,5,16,"99",0
930114,933,35,1,1,"0",0
930115,933,35,2,1,"0",0
930116,933,35,3,4,"0",0
930117,933,35,4,1,"-6",0
930118,933,35,5,9,"22",0
930119,933,36,1,1,"0",0
930120,933,36,2,14,"10",0
930121,933,36,3,1,"0",0
930122,933,36,4,1,"4",0
930123,933,36,5,4,"0",0
930124,933,37,1,1,"0",0
930125,933,37,2,14,"4",0
930126,933,37,3,14,"4",0
930127,933,37,4,14,"10",0
930128,933,37,5,14,"12",0
930129,933,38,1,1,"0",0
930130,933,38,2,1,"0",0
930131,933,38,3,1,"4",0
930132,933,38,4,14,"4",0
930133,933,38,5,1,"21",0
930134,933,39,1,1,"0",0
930135,933,39,2,1,"0",0
930136,933,39,3,1,"2",0
930137,933,39,4,14,"12",0
930138,933,39,5,1,"18",0
930139,933,40,1,1,"0",0
930140,933,40,2,1,"0",0
930141,933,40,3,14,"8",0
930142,933,40,4,14,"14",0
930143,933,40,5,14,"4",0
930144,933,41,1,1,"0",0
930145,933,41,2,1,"-1",0
930146,933,41,3,14,"2",0
930147,933,41,4,14,"21",0
930148,933,41,5,1,"4",0
930149,933,42,1,1,"5",0
930150,933,42,2,1,"0",0
930151,933,42,3,1,"-4",0
930152,933,42,4,4,"0",0
930153,933,42,5,3,"0",0
930154,933,43,1,1,"9",0
930155,933,43,2,1,"3",0
930156,933,43,3,3,"0",0
930157,933,43,4,9,"19",0
930158,933,43,5,16,"99",0
930159,933,44,1,1,"-4",0
930160,933,44,2,1,"0",0
930161,933,44,3,4,"0",0
930162,933,44,4,3,"0",0
930163,933,44,5,1,"20",0
930164,933,45,1,1,"0",0
930165,933,45,2,14,"11",0
930166,933,45,3,4,"0",0
930167,933,45,4,3,"0",0
930168,933,45,5,14,"15",0
930169,933,46,1,14,"6",0
930170,933,46,2,1,"0",0
930171,933,46,3,14,"5",0
930172,933,46,4,14,"-1",0
930173,933,46,5,1,"0",0
930174,933,47,1,1,"0",0
930175,933,47,2,1,"0",0
930176,933,47,3,1,"14",0
930177,933,47,4,14,"9",0
930178,933,47,5,1,"0",0
930179,933,48,1,1,"0",0
930180,933,48,2,1,"0",0
930181,933,48,3,14,"7",0
930182,933,48,4,1,"4",0
930183,933,48,5,1,"26",0
930184,933,49,1,14,"6",0
930185,933,49,2,1,"0",0
930186,933,49,3,1,"4",0
930187,933,49,4,1,"10",0
930188,933,49,5,1,"9",0
930189,933,50,1,1,"-1",0
930190,933,50,2,1,"-2",0
930191,933,50,3,14,"4",0
930192,933,50,4,1,"6",0
930193,933,50,5,1,"0",0
930194,933,51,1,14,"9",0
930195,933,51,2,1,"-2",0
930196,933,51,3,1,"0",0
930197,933,51,4,4,"0",0
930198,933,51,5,3,"0",0
930199,933,52,1,1,"0",0
930200,933,52,2,14,"22",0
930201,933,52,3,4,"0",0
930202,933,52,4,9,"9",0
930203,933,52,5,3,"0",0
930204,933,53,1,1,"10",0
930205,933,53,2,4,"0",0
930206,933,53,3,3,"0",0
930207,933,53,4,9,"43",0
930208,933,53,5,9,"32",0
930209,933,54,1,1,"0",0
930210,933,54,2,14,"8",0
930211,933,54,3,1,"-3",0
930212,933,54,4,9,"3",0
930213,933,54,5,4,"0",0
930214,933,55,1,14,"5",0
930215,933,55,2,1,"0",0
930216,933,55,3,14,"2",0
930217,933,55,4,14,"4",0
930218,933,55,5,1,"0",0
930219,933,56,1,14,"6",0
930220,933,56,2,1,"0",0
930221,933,56,3,14,"-1",0
930222,933,56,4,1,"0",0
930223,933,56,5,14,"10",0
930224,933,57,1,1,"0",0
930225,933,57,2,14,"8",0
930226,933,57,3,14,"3",0
930227,933,57,4,1,"1",0
930228,933,57,5,1,"15",0
930229,933,58,1,1,"2",0
930230,933,58,2,1,"0",0
930231,933,58,3,14,"5",0
930232,933,58,4,1,"4",0
930233,933,58,5,14,"10",0
930234,933,59,1,1,"2",0
930235,933,59,2,1,"0",0
930236,933,59,3,14,"-1",0
930237,933,59,4,1,"14",0
930238,933,59,5,1,"0",0
930239,933,60,1,1,"0",0
930240,933,60,2,1,"-2",0
930241,933,60,3,14,"12",0
930242,933,60,4,3,"0",0
930243,933,60,5,9,"-1",0
930244,933,61,1,1,"2",0
930245,933,61,2,4,"0",0
930246,933,61,3,14,"23",0
930247,933,61,4,9,"12",0
930248,933,61,5,14,"53",0
930249,933,62,1,4,"0",0
930250,933,62,2,1,"0",0
930251,933,62,3,1,"0",0
930252,933,62,4,3,"0",0
930253,933,62,5,9,"47",0
930254,933,63,1,1,"0",0
930255,933,63,2,14,"14",0
930256,933,63,3,3,"0",0
930257,933,63,4,9,"18",0
930258,933,63,5,14,"18",0
930259,933,64,10,1,"66",0
930260,933,64,11,1,"58",0
930261,933,64,12,1,"75",0
930262,933,64,13,1,"74",0
930263,933,64,14,1,"67",0
930264,933,64,15,1,"69",0
930265,933,64,16,1,"75",0
930266,933,64,17,1,"69",0
930267,933,64,18,1,"66",0
930268,933,64,19,1,"66",0
930269,933,64,20,1,"66",0
930270,933,64,21,1,"66",0
930271,933,64,22,1,"75",0
930272,933,64,23,1,"74",0
930273,933,64,24,1,"70",0
930274,933,64,25,1,"68",0
930275,933,64,26,1,"75",0
930276,933,64,27,1,"66",0
930277,933,64,28,1,"66",0
930278,933,64,29,1,"66",0
930279,933,64,30,1,"61",0
930280,933,64,31,1,"60",0
930281,933,64,32,1,"67",0
930282,933,64,33,1,"71",0
930283,933,64,34,1,"62",0
930284,933,64,35,1,"64",0
930285,933,64,36,1,"69",0
930286,933,64,37,1,"65",0
930287,933,64,38,1,"66",0
930288,933,64,39,1,"75",0
930289,933,65,10,1,"12",0
930290,933,65,11,1,"13",0
930291,933,65,12,1,"53",0
930292,933,65,13,1,"12",0
930293,933,65,14,1,"22",0
930294,933,65,15,5,"31",0
930295,933,65,16,1,"26",0
930296,933,65,17,1,"53",0
930297,933,65,18,7,"10",0
930298,933,65,19,5,"31",0
930299,933,65,20,7,"10",0
930300,933,65,21,1,"27",0
930301,933,65,22,1,"16",0
930302,933,65,23,1,"24",0
930303,933,65,24,1,"15",0
930304,933,65,25,1,"17",0
930305,933,65,26,1,"20",0
930306,933,65,27,1,"23",0
930307,933,65,28,1,"26",0
930308,933,65,29,1,"24",0
930309,933,65,30,1,"30",0
930310,933,65,31,1,"9",0
930311,933,65,32,1,"31",0
930312,933,65,33,1,"24",0
930313,933,65,34,1,"21",0
930314,933,65,35,7,"10",0
930315,933,65,36,1,"18",0
930316,933,65,37,1,"28",0
930317,933,65,38,1,"29",0
930318,933,65,39,1,"33",0
930319,933,66,10,6,"5",0
930320,933,66,11,1,"59",0
930321,933,66,12,1,"52",0
930322,933,66,13,1,"71",0
930323,933,66,14,1,"55",0
930324,933,66,15,1,"58",0
930325,933,66,16,1,"46",1
930326,933,66,17,1,"45",0
930327,933,66,18,1,"59",0
930328,933,66,19,1,"64",0
930329,933,66,20,1,"47",0
930330,933,66,21,1,"44",0
930331,933,66,22,1,"59",0
930332,933,66,23,1,"60",0
930333,933,66,24,1,"54",0
930334,933,66,25,1,"40",1
930335,933,66,26,1,"62",0
930336,933,66,27,1,"47",1
930337,933,66,28,1,"49",1
930338,933,66,29,1,"59",0
930339,933,66,30,1,"40",0
930340,933,66,31,1,"57",0
930341,933,66,32,6,"5",0
930342,933,66,33,1,"53",0
930343,933,66,34,1,"50",0
930344,933,66,35,1,"46",0
930345,933,66,36,1,"56",0
930346,933,66,37,1,"65",0
930347,933,66,38,1,"42",0
930348,933,66,39,1,"59",0
930349,933,67,10,2,"109",0
930350,933,67,11,1,"19",0
930351,933,67,12,1,"61",0
930352,933,67,13,1,"58",0
930353,933,67,14,7,"15",0
930354,933,67,15,1,"21",0
930355,933,67,16,1,"11",0
930356,933,67,17,1,"14",0
930357,933,67,18,5,"-1",0
930358,933,67,19,5,"-1",0
930359,933,67,20,1,"15",0
930360,933,67,21,1,"9",0
930361,933,67,22,7,"10",0
930362,933,67,23,22,"0",0
930363,933,67,24,22,"0",0
930364,933,67,25,22,"0",0
930365,933,67,26,22,"0",0
930366,933,67,27,1,"13",0
930367,933,67,28,1,"17",0
930368,933,67,29,5,"-1",0
930369,933,67,30,1,"4",0
930370,933,67,31,1,"12",0
930371,933,67,32,1,"3",0
930372,933,67,33,22,"0",0
930373,933,67,34,7,"10",0
930374,933,67,35,1,"0",0
930375,933,67,36,22,"0",0
930376,933,67,37,22,"0",0
930377,933,67,38,1,"5",0
930378,933,67,39,2,"109",0
930379,933,68,10,1,"30",0
930380,933,68,11,1,"30",0
930381,933,68,12,1,"30",0
930382,933,68,13,1,"30",0
930383,933,68,14,1,"30",0
930384,933,68,15,1,"30",0
930385,933,68,16,1,"30",0
930386,933,68,17,1,"30",0
930387,933,68,18,1,"30",0
930388,933,68,19,1,"30",0
930389,933,68,20,13,"0",0
930390,933,68,21,1,"31",0
930391,933,68,22,6,"5",0
930392,933,68,23,1,"30",0
930393,933,68,24,1,"28",0
930394,933,68,25,1,"28",0
930395,933,68,26,1,"30",0
930396,933,68,27,1,"25",0
930397,933,68,28,1,"30",0
930398,933,68,29,1,"30",0
930399,933,68,30,1,"30",0
930400,933,68,31,1,"32",0
930401,933,68,32,1,"28",0
930402,933,68,33,1,"30",0
930403,933,68,34,1,"33",0
930404,933,68,35,1,"33",0
930405,933,68,36,1,"28",0
930406,933,68,37,1,"30",0
930407,933,68,38,1,"30",0
930408,933,68,39,1,"30",0
930409,933,69,10,1,"3",0
930410,933,69,11,1,"15",0
930411,933,69,12,1,"0",0
930412,933,69,13,1,"19",0
930413,933,69,14,1,"5",0
930414,933,69,15,1,"19",0
930415,933,69,16,1,"0",0
930416,933,69,17,1,"25",0
930417,933,69,18,1,"43",0
930418,933,69,19,1,"30",0
930419,933,69,20,1,"0",0
930420,933,69,21,1,"0",0
930421,933,69,22,1,"15",0
930422,933,69,23,1,"30",0
930423,933,69,24,1,"0",0
930424,933,69,25,1,"0",0
930425,933,69,26,1,"25",0
930426,933,69,27,1,"0",0
930427,933,69,28,1,"0",0
930428,933,69,29,1,"0",0
930429,933,69,30,1,"0",0
930430,933,69,31,2,"109",0
930431,933,69,32,6,"15",0
930432,933,69,33,1,"0",0
930433,933,69,34,1,"5",0
930434,933,69,35,1,"0",0
930435,933,69,36,1,"17",0
930436,933,69,37,1,"3",0
930437,933,69,38,1,"0",0
930438,933,69,39,1,"0",0
930439,933,70,10,1,"18",0
930440,933,70,11,1,"38",0
930441,933,70,12,1,"14",0
930442,933,70,13,1,"13",1
930443,933,70,14,1,"41",0
930444,933,70,15,1,"23",0
930445,933,70,16,1,"13",0
930446,933,70,17,1,"13",0
930447,933,70,18,1,"13",1
930448,933,70,19,1,"13",0
930449,933,70,20,1,"13",0
930450,933,70,21,1,"38",0
930451,933,70,22,1,"48",0
930452,933,70,23,1,"18",0
930453,933,70,24,1,"18",0
930454,933,70,25,1,"17",0
930455,933,70,26,1,"22",0
930456,933,70,27,1,"29",0
930457,933,70,28,1,"13",0
930458,933,70,29,1,"13",0
930459,933,70,30,1,"28",0
930460,933,70,31,1,"19",0
930461,933,70,32,1,"21",0
930462,933,70,33,1,"13",0
930463,933,70,34,1,"14",0
930464,933,70,35,1,"16",0
930465,933,70,36,1,"15",0
930466,933,70,37,1,"25",0
930467,933,70,38,1,"49",0
930468,933,70,39,1,"13",0
930469,933,71,10,1,"4",1
930470,933,71,11,1,"-10",0
930471,933,71,12,1,"14",0
930472,933,71,13,1,"-2",0
930473,933,71,14,5,"-5",0
930474,933,71,15,1,"-7",0
930475,933,71,16,1,"21",0
930476,933,71,17,1,"0",0
930477,933,71,18,1,"-7",0
930478,933,71,19,5,"-4",0
930479,933,71,20,5,"3",0
930480,933,71,21,1,"1",1
930481,933,71,22,1,"-13",0
930482,933,71,23,1,"-7",0
930483,933,71,24,1,"3",0
930484,933,71,25,1,"-4",0
930485,933,71,26,1,"-8",0
930486,933,71,27,1,"-5",0
930487,933,71,28,1,"-7",0
930488,933,71,29,1,"-7",0
930489,933,71,30,1,"-3",0
930490,933,71,31,1,"-1",0
930491,933,71,32,1,"4",0
930492,933,71,33,1,"-9",0
930493,933,71,34,1,"12",0
930494,933,71,35,1,"-6",0
930495,933,71,36,1,"8",0
930496,933,71,37,1,"-9",0
930497,933,71,38,1,"7",1
930498,933,71,39,1,"38",1
930499,933,72,10,12,"0",0
930500,933,72,11,12,"0",0
930501,933,72,12,12,"0",0
930502,933,72,13,12,"0",0
930503,933,72,14,12,"0",0
930504,933,72,15,12,"0",0
930505,933,72,16,12,"0",0
930506,933,72,17,12,"0",0
930507,933,72,18,12,"0",0
930508,933,72,19,12,"0",0
930509,933,72,20,12,"0",0
930510,933,72,21,12,"0",0
930511,933,72,22,12,"0",0
930512,933,72,23,12,"0",0
930513,933,72,24,12,"0",0
930514,933,72,25,12,"0",0
930515,933,72,26,12,"0",0
930516,933,72,27,12,"0",0
930517,933,72,28,12,"0",0
930518,933,72,29,12,"0",0
930519,933,72,30,12,"0",0
930520,933,72,31,12,"0",0
930521,933,72,32,12,"0",0
930522,933,72,33,12,"0",0
930523,933,72,34,13,"0",0
930524,933,72,35,13,"0",0
930525,933,72,36,13,"0",0
930526,933,72,37,12,"0",0
930527,933,72,38,13,"0",0
930528,933,72,39,13,"0",0
930529,933,73,10,12,"0",0
930530,933,73,11,12,"0",0
930531,933,73,12,12,"0",0
930532,933,73,13,12,"0",0
930533,933,73,14,12,"0",0
930534,933,73,15,12,"0",0
930535,933,73,16,12,"0",0
930536,933,73,17,12,"0",0
930537,933,73,18,12,"0",0
930538,933,73,19,12,"0",0
930539,933,73,20,12,"0",0
930540,933,73,21,12,"0",0
930541,933,73,22,12,"0",0
930542,933,73,23,12,"0",0
930543,933,73,24,12,"0",0
930544,933,73,25,12,"0",0
930545,933,73,26,12,"0",0
930546,933,73,27,12,"0",0
930547,933,73,28,12,"0",0
930548,933,73,29,13,"0",0
930549,933,73,30,12,"0",0
930550,933,73,31,12,"0",0
930551,933,73,32,12,"0",0
930552,933,73,33,12,"0",0
930553,933,73,34,13,"0",0
930554,933,73,35,12,"0",0
930555,933,73,36,12,"0",0
930556,933,73,37,12,"0",0
930557,933,73,38,12,"0",0
930558,933,73,39,12,"0",0
930559,933,103,1,1,"-3",0
930560,933,103,2,1,"0",0
930561,933,103,3,1,"-1",0
930562,933,103,4,14,"20",0
930563,933,103,5,1,"-5",0
930564,933,104,1,14,"7",0
930565,933,104,2,1,"-3",0
930566,933,104,3,1,"-1",0
930567,933,104,4,1,"-9",0
930568,933,104,5,1,"0",0
930569,933,106,1,1,"0",0
930570,933,106,2,1,"0",0
930571,933,106,3,1,"0",0
930572,933,106,4,1,"0",0
930573,933,106,5,13,"0",0
930574,933,107,1,1,"2",0
930575,933,107,2,1,"-4",0
930576,933,107,3,1,"0",0
930577,933,107,4,1,"4",0
930578,933,107,5,1,"11",0
930579,933,108,10,1,"0",0
930580,933,108,11,1,"0",0
930581,933,108,12,1,"0",0
930582,933,108,13,1,"0",0
